Ciclo,FUTURES/FOREX (70.3%),CRYPTO (100%),FOREX (71.4%),FUTURES (68.5%),STOCK USA (19.3%),STOCK EU (25.3%)
T+10 (32-ANNI),10240g 10h 8m,14563g 13h 20m,10398g 9h 5m,9976g 51m,2810g 18h 23m,3684g 13h 54m
T+9 (16-ANNI),5120g 5h 4m,7281g 18h 40m,5199g 4h 32m,4988g 25m,1405g 9h 11m,1842g 6h 57m
T+8 (OTTENNALE),2560g 2h 32m,3640g 21h 20m,2599g 14h 16m,2494g 12m,702g 16h 35m,921g 3h 28m
T+7 (QUADRIENNALE),1280g 1h 16m,1820g 10h 40m,1299g 19h 8m,1247g 6m,351g 8h 17m,460g 13h 44m
T+6 (BIENNALE),640g 38m,910g 5h 20m,649g 21h 34m,623g 12h 3m,175g 16h 8m,230g 6h 52m
T+5 (ANNUALE),320g 19m,455g 2h 40m,324g 22h 47m,311g 18h 1m,87g 20h 4m,115g 3h 26m
T+4 (SEMESTRALE),160g 9m,227g 13h 20m,162g 11h 23m,155g 21h,43g 22h 2m,57g 13h 43m
T+3 (TRIMESTRALE),80g 4m,113g 18h 40m,81g 5h 41m,77g 22h 30m,21g 23h 1m,28g 18h 51m
T+2 (MENSILE),40g 2m,56g 21h 20m,40g 14h 50m,38g 23h 15m,10g 23h 30m,14g 9h 25m
T+1 (BI-SETTIMANALE),20g 1m,28g 10h 40m,20g 7h 25m,19g 11h 37m,5g 11h 45m,7g 4h 42m
T (SETTIMANALE),10g,14g 5h 20m,10g 3h 42m,9g 17h 48m,2g 17h 52m,3g 14h 21m
T-1 (3-5 GG),5g,7g 2h 40m,5g 1h 51m,4g 20h 54m,1g 8h 56m,1g 19h 10m
T-2 (1-3 GG),2g 12h,3g 13h 20m,2g 12h 55m,2g 10h 27m,16h 28m,21h 35m
T-3 (GIORNALIERO 34H),1g 6h,1g 18h 40m,1g 6h 27m,1g 5h 13m,8h 14m,10h 47m
T-4 (12H),15h,21h 20m,15h 13m,14h 36m,4h 7m,5h 23m
T-5 (6H),7h 30m,10h 40m,7h 36m,7h 18m,2h 3m,2h 41m
T-6 (3H),3h 45m,5h 20m,3h 48m,3h 39m,1h 1m,1h 20m
T-7 (1.5H),1h 52m,2h 40m,1h 54m,1h 49m,30m,40m
T-8 (45M),56m,1h 20m,57m,54m,15m,20m
T-9 (22M),28m,40m,28m,27m,7m,10m
T-10 (11M),14m,20m,14m,13m,3m,5m
T-11 (5.5M),7m,10m,7m,6m,1m,2m
T-12 (2.75M),3m,5m,3m,3m,0m,1m
