Ciclo,FUTURES/FOREX (70.3%),CRYPTO (100%),FOREX (71.4%),FUTURES (68.5%),STOCK USA (19.3%),STOCK EU (25.3%)
T+10 (32-ANNI),8192g 8h 6m,11650g 20h 15m,8318g 16h 52m,7980g 19h 52m,2248g 14h 42m,2947g 15h 55m
T+9 (16-ANNI),4096g 4h 3m,5825g 10h 7m,4159g 8h 26m,3990g 9h 56m,1124g 7h 21m,1473g 19h 57m
T+8 (OTTENNALE),2048g 2h 1m,2912g 17h 3m,2079g 16h 13m,1995g 4h 58m,562g 3h 40m,736g 21h 58m
T+7 (QUADRIENNALE),1024g 1h,1456g 8h 31m,1039g 20h 6m,997g 14h 29m,281g 1h 50m,368g 10h 59m
T+6 (BIENNALE),512g 30m,728g 4h 15m,519g 22h 3m,498g 19h 14m,140g 12h 55m,184g 5h 29m
T+5 (ANNUALE),256g 15m,364g 2h 7m,259g 23h 1m,249g 9h 37m,70g 6h 27m,92g 2h 44m
T+4 (SEMESTRALE),128g 7m,182g 1h 3m,129g 23h 30m,124g 16h 48m,35g 3h 13m,46g 1h 22m
T+3 (TRIMESTRALE),64g 3m,91g 31m,64g 23h 45m,62g 8h 24m,17g 13h 36m,23g 41m
T+2 (MENSILE),32g 1m,45g 12h 15m,32g 11h 52m,31g 4h 12m,8g 18h 48m,11g 12h 20m
T+1 (BI-SETTIMANALE),16g,22g 18h 7m,16g 5h 56m,15g 14h 6m,4g 9h 24m,5g 18h 10m
T (SETTIMANALE),8g,11g 9h 3m,8g 2h 58m,7g 19h 3m,2g 4h 42m,2g 21h 5m
T-1 (3-5 GG),4g,5g 16h 31m,4g 1h 29m,3g 21h 31m,1g 2h 21m,1g 10h 32m
T-2 (1-3 GG),2g,2g 20h 15m,2g 44m,1g 22h 45m,13h 10m,17h 16m
T-3 (GIORNALIERO 34H),1g,1g 10h 7m,1g 22m,23h 22m,6h 35m,8h 38m
T-4 (12H),12h,17h 3m,12h 11m,11h 41m,3h 17m,4h 19m
T-5 (6H),6h,8h 31m,6h 5m,5h 50m,1h 38m,2h 9m
T-6 (3H),3h,4h 15m,3h 2m,2h 55m,49m,1h 4m
T-7 (1.5H),1h 30m,2h 7m,1h 31m,1h 27m,24m,32m
T-8 (45M),45m,1h 3m,45m,43m,12m,16m
T-9 (22M),22m,31m,22m,21m,6m,8m
T-10 (11M),11m,15m,11m,10m,3m,4m
T-11 (5.5M),5m,7m,5m,5m,1m,2m
T-12 (2.75M),2m,3m,2m,2m,0m,1m
