Ciclo,FUTURES/FOREX (70.3%),CRYPTO (100%),FOREX (71.4%),FUTURES (68.5%),STOCK USA (19.3%),STOCK EU (25.3%)
T+10 (32-ANNI),11776g 11h 39m,16748g 2h 7m,11958g 3h 15m,11472g 10h 34m,3232g 9h 8m,4237g 6h 23m
T+9 (16-ANNI),5888g 5h 49m,8374g 1h 3m,5979g 1h 37m,5736g 5h 17m,1616g 4h 34m,2118g 15h 11m
T+8 (OTTENNALE),2944g 2h 54m,4187g 31m,2989g 12h 48m,2868g 2h 38m,808g 2h 17m,1059g 7h 35m
T+7 (QUADRIENNALE),1472g 1h 27m,2093g 12h 15m,1494g 18h 24m,1434g 1h 19m,404g 1h 8m,529g 15h 47m
T+6 (BIENNALE),736g 43m,1046g 18h 7m,747g 9h 12m,717g 39m,202g 34m,264g 19h 53m
T+5 (ANNUALE),368g 21m,523g 9h 3m,373g 16h 36m,358g 12h 19m,101g 17m,132g 9h 56m
T+4 (SEMESTRALE),184g 10m,261g 16h 31m,186g 20h 18m,179g 6h 9m,50g 12h 8m,66g 4h 58m
T+3 (TRIMESTRALE),92g 5m,130g 20h 15m,93g 10h 9m,89g 15h 4m,25g 6h 4m,33g 2h 29m
T+2 (MENSILE),46g 2m,65g 10h 7m,46g 17h 4m,44g 19h 32m,12g 15h 2m,16g 13h 14m
T+1 (BI-SETTIMANALE),23g 1m,32g 17h 3m,23g 8h 32m,22g 9h 46m,6g 7h 31m,8g 6h 37m
T (SETTIMANALE),11g 12h,16g 8h 31m,11g 16h 16m,11g 4h 53m,3g 3h 45m,4g 3h 18m
T-1 (3-5 GG),5g 18h,8g 4h 15m,5g 20h 8m,5g 14h 26m,1g 13h 52m,2g 1h 39m
T-2 (1-3 GG),2g 21h,4g 2h 7m,2g 22h 4m,2g 19h 13m,18h 56m,1g 49m
T-3 (GIORNALIERO 34H),1g 10h 30m,2g 1h 3m,1g 11h 2m,1g 9h 36m,9h 28m,12h 24m
T-4 (12H),17h 15m,1g 31m,17h 31m,16h 48m,4h 44m,6h 12m
T-5 (6H),8h 37m,12h 15m,8h 45m,8h 24m,2h 22m,3h 6m
T-6 (3H),4h 18m,6h 7m,4h 22m,4h 12m,1h 11m,1h 33m
T-7 (1.5H),2h 9m,3h 3m,2h 11m,2h 6m,35m,46m
T-8 (45M),1h 4m,1h 31m,1h 5m,1h 3m,17m,23m
T-9 (22M),32m,45m,32m,31m,8m,11m
T-10 (11M),16m,22m,16m,15m,4m,5m
T-11 (5.5M),8m,11m,8m,7m,2m,2m
T-12 (2.75M),4m,5m,4m,3m,1m,1m
