Ciclo,FUTURES/FOREX (70.3%),CRYPTO (100%),FOREX (71.4%),FUTURES (68.5%),STOCK USA (19.3%),STOCK EU (25.3%)
T+10 (32-ANNI),5632g 5h 34m,8009g 22h 56m,5719g 2h 35m,5486g 19h 40m,1545g 22h 6m,2026g 12h 27m
T+9 (16-ANNI),2816g 2h 47m,4004g 23h 28m,2859g 13h 17m,2743g 9h 50m,772g 23h 3m,1013g 6h 13m
T+8 (OTTENNALE),1408g 1h 23m,2002g 11h 44m,1429g 18h 38m,1371g 16h 55m,386g 11h 31m,506g 15h 6m
T+7 (QUADRIENNALE),704g 41m,1001g 5h 52m,714g 21h 19m,685g 20h 27m,193g 5h 45m,253g 7h 33m
T+6 (BIENNALE),352g 20m,500g 14h 56m,357g 10h 39m,342g 22h 13m,96g 14h 52m,126g 15h 46m
T+5 (ANNUALE),176g 10m,250g 7h 28m,178g 17h 19m,171g 11h 6m,48g 7h 26m,63g 7h 53m
T+4 (SEMESTRALE),88g 5m,125g 3h 44m,89g 8h 39m,85g 17h 33m,24g 3h 43m,31g 15h 56m
T+3 (TRIMESTRALE),44g 2m,62g 13h 52m,44g 16h 19m,42g 20h 46m,12g 1h 51m,15g 19h 58m
T+2 (MENSILE),22g 1m,31g 6h 56m,22g 8h 9m,21g 10h 23m,6g 55m,7g 21h 59m
T+1 (BI-SETTIMANALE),11g,15g 15h 28m,11g 4h 4m,10g 17h 11m,3g 27m,3g 22h 59m
T (SETTIMANALE),5g 12h,7g 19h 44m,5g 14h 2m,5g 8h 35m,1g 12h 13m,1g 23h 29m
T-1 (3-5 GG),2g 18h,3g 21h 52m,2g 19h 1m,2g 16h 17m,18h 6m,23h 44m
T-2 (1-3 GG),1g 9h,1g 22h 56m,1g 9h 30m,1g 8h 8m,9h 3m,11h 52m
T-3 (GIORNALIERO 34H),16h 30m,23h 28m,16h 45m,16h 4m,4h 31m,5h 56m
T-4 (12H),8h 15m,11h 44m,8h 22m,8h 2m,2h 15m,2h 58m
T-5 (6H),4h 7m,5h 52m,4h 11m,4h 1m,1h 7m,1h 29m
T-6 (3H),2h 3m,2h 56m,2h 5m,2h,33m,44m
T-7 (1.5H),1h 1m,1h 28m,1h 2m,1h,16m,22m
T-8 (45M),30m,44m,31m,30m,8m,11m
T-9 (22M),15m,22m,15m,15m,4m,5m
T-10 (11M),7m,11m,7m,7m,2m,2m
T-11 (5.5M),3m,5m,3m,3m,1m,1m
T-12 (2.75M),1m,2m,1m,1m,0m,0m
